id,category,question,ground_truth,in_corpus,source_doc
Q01,Direct_Fact,"On what exact date did Apollo 11 land on the lunar surface, and in which lunar region?","Apollo 11 landed on July 20, 1969, in Tranquility Base (Mare Tranquillitatis).",True,apollo_11_mission
Q02,Direct_Fact,What is the primary power source for the Curiosity Mars rover?,A Multi-Mission Radioisotope Thermoelectric Generator (MMRTG) using plutonium-238 dioxide.,True,curiosity_rover_mars
Q03,Direct_Fact,How many total flights did the Ingenuity helicopter complete on Mars before sustaining damage?,Ingenuity completed 72 flights.,True,ingenuity_mars_helicopter
Q04,Direct_Fact,Where is the James Webb Space Telescope located in space?,"At the Sun-Earth L2 Lagrange point, approximately 1.5 million kilometers from Earth.",True,james_webb_space_telescope
Q05,Direct_Fact,What is the diameter and material composition of the primary mirror of the James Webb Space Telescope?,"6.5 meters in diameter, consisting of 18 hexagonal beryllium segments coated with gold.",True,james_webb_space_telescope
Q06,Direct_Fact,Which space agency developed the Huygens probe and on which celestial body did it land?,"Developed by the European Space Agency (ESA) and landed on Saturn's moon Titan on January 14, 2005.",True,cassini_huygens_saturn
Q07,Direct_Fact,What total mass of asteroid sample did OSIRIS-REx deliver back to Earth from asteroid Bennu?,121.6 grams (4.29 oz).,True,osiris_rex_bennu
Q08,Direct_Fact,What was the name and landing site coordinates of India's Chandrayaan-3 lander?,"Vikram lander landed at Shiv Shakti Point (69.37° S, 32.35° E) near the lunar south pole.",True,chandrayaan_3_mission
Q09,Direct_Fact,What was the total budget cost of India's Mars Orbiter Mission (Mangalyaan)?,Approximately $74 million USD (Rs 450 crore).,True,mangalyaan_mars_orbiter
Q10,Direct_Fact,What is the primary target and propulsion type of NASA's Psyche mission?,Asteroid 16 Psyche (a metal-rich M-type asteroid) using Hall-effect electric propulsion thrusters fueled by xenon gas.,True,psyche_metal_asteroid
Q11,Direct_Fact,On what date did Voyager 1 enter interstellar space?,"August 25, 2012.",True,voyager_1_probe
Q12,Direct_Fact,What was the name of the first wheeled robotic rover to operate on Mars?,"Sojourner rover, delivered by the Mars Pathfinder mission in 1997.",True,mars_pathfinder_sojourner
Q13,Direct_Fact,What key technology did MOXIE demonstrate on Mars?,Extracting breathable oxygen from Martian carbon dioxide using solid oxide electrolysis.,True,moxie_oxygen_generator
Q14,Direct_Fact,How much did the DART impact shorten Dimorphos's orbital period around Didymos?,By 32 minutes (from 11 hours 55 minutes).,True,dart_mission
Q15,Direct_Fact,What orbital location and launch date correspond to India's Aditya-L1 solar observatory?,"Halo orbit around Sun-Earth L1 Lagrange point, launched on September 2, 2023.",True,aditya_l1_solar_observatory
Q16,Direct_Fact,What is the landing accuracy achieved by Japan's SLIM 'Moon Sniper' lander?,55 meters from its target site near Shioli crater.,True,slims_moon_sniper
Q17,Direct_Fact,What are the names of the two outer planets visited exclusively by Voyager 2?,Uranus and Neptune.,True,voyager_2_probe
Q18,Direct_Fact,Which space shuttle mission deployed the Hubble Space Telescope in 1990?,"Space Shuttle Discovery (STS-31) on April 24, 1990.",True,hubble_space_telescope
Q19,Multi_Hop,"Compare the power sources of the Curiosity rover, Juno spacecraft, and Voyager 1 probe.","Curiosity and Voyager 1 use radioisotope thermoelectric generators (RTGs fueled by plutonium-238), whereas Juno is powered by three large solar panel arrays.",True,"curiosity_rover_mars, juno_mission_jupiter, voyager_1_probe"
Q20,Multi_Hop,"Which two spacecraft have returned physical samples from near-Earth asteroids, and how much sample mass did each return?","Hayabusa2 returned 5.4 grams from asteroid Ryugu, and OSIRIS-REx returned 121.6 grams from asteroid Bennu.",True,"hayabusa2_ryugu, osiris_rex_bennu"
Q21,Multi_Hop,How do the observational approaches of Kepler and TESS differ in surveying the sky for exoplanets?,"Kepler monitored a single fixed narrow field of stars continuously, while TESS is an all-sky survey dividing 85% of the sky into 26 sectors to monitor nearby bright stars.",True,"kepler_space_telescope, tess_space_telescope"
Q22,Multi_Hop,What is the difference in primary mission destination and landing mechanism between Mars Pathfinder and Chandrayaan-3?,"Mars Pathfinder landed on Mars (Ares Vallis) using a parachute and 24 cushioning airbags, whereas Chandrayaan-3 soft-landed on the lunar south pole using throttleable rocket engines.",True,"mars_pathfinder_sojourner, chandrayaan_3_mission"
Q23,Multi_Hop,Which two space telescopes are positioned at the Sun-Earth L1 and L2 Lagrange points respectively?,"Aditya-L1 is at the Sun-Earth L1 Lagrange point, and James Webb Space Telescope (JWST) is at the Sun-Earth L2 Lagrange point.",True,"aditya_l1_solar_observatory, james_webb_space_telescope"
Q24,Multi_Hop,Compare the landing sites and operational lifespans of the Spirit and Opportunity rovers on Mars.,"Spirit landed in Gusev Crater and operated for 6 years; Opportunity landed in Meridiani Planum and operated for over 14 years, driving 45.16 km.",True,spirit_and_opportunity_rovers
Q25,Multi_Hop,Which space missions confirmed water ice on the Moon and Mercury respectively?,"Chandrayaan-1 confirmed water ice on the Moon via its Moon Mineralogy Mapper, and MESSENGER confirmed water ice in permanently shadowed polar craters on Mercury.",True,"chandrayaan_1_mission, messenger_mercury_mission"
