id,category,question,ground_truth,system,answer,auto_hallucinated,reviewer_hallucinated,reviewer_faithfulness_0_5,reviewer_correctness,reviewer_notes
Q01,Direct_Fact,"On what exact date did Apollo 11 land on the lunar surface, and in which lunar region?","Apollo 11 landed on July 20, 1969, in Tranquility Base (Mare Tranquillitatis).",baseline,"Apollo 11 landed on July 20, 1969, in Tranquility Base.",0,0,5,Correct,"Factually correct direct retrieval from parametric memory."
Q01,Direct_Fact,"On what exact date did Apollo 11 land on the lunar surface, and in which lunar region?","Apollo 11 landed on July 20, 1969, in Tranquility Base (Mare Tranquillitatis).",rag_k3,"Apollo 11 landed on the Moon on July 20, 1969, at Tranquility Base (Mare Tranquillitatis).",0,0,5,Correct,"Faithful and precise extraction from apollo_11_mission chunk."
Q02,Direct_Fact,"What is the primary power source for the Curiosity Mars rover?","A Multi-Mission Radioisotope Thermoelectric Generator (MMRTG) using plutonium-238 dioxide.",baseline,"Curiosity is powered by solar wings and rechargeable lithium batteries.",1,1,0,Incorrect,"Baseline hallucinated solar panels (Curiosity uses MMRTG)."
Q02,Direct_Fact,"What is the primary power source for the Curiosity Mars rover?","A Multi-Mission Radioisotope Thermoelectric Generator (MMRTG) using plutonium-238 dioxide.",rag_k3,"Curiosity is powered by a Multi-Mission Radioisotope Thermoelectric Generator (MMRTG) using plutonium-238 dioxide.",0,0,5,Correct,"RAG accurately retrieved curiosity_rover_mars context."
Q07,Direct_Fact,"What total mass of asteroid sample did OSIRIS-REx deliver back to Earth from asteroid Bennu?","121.6 grams (4.29 oz).",baseline,"OSIRIS-REx returned approximately 2.5 kilograms of Bennu regolith.",1,1,0,Incorrect,"Baseline invented inaccurate 2.5 kg mass specification."
Q07,Direct_Fact,"What total mass of asteroid sample did OSIRIS-REx deliver back to Earth from asteroid Bennu?","121.6 grams (4.29 oz).",rag_k3,"OSIRIS-REx delivered 121.6 grams (4.29 oz) of asteroid sample from Bennu.",0,0,5,Correct,"Exact numerical match supported by osiris_rex_bennu chunk."
Q19,Multi_Hop,"Compare the power sources of the Curiosity rover, Juno spacecraft, and Voyager 1 probe.","Curiosity and Voyager 1 use radioisotope thermoelectric generators (RTGs fueled by plutonium-238), whereas Juno is powered by three large solar panel arrays.",baseline,"Curiosity, Juno, and Voyager 1 all utilize nuclear plutonium RTG power systems.",1,1,1,Incorrect,"Baseline falsely generalized nuclear RTGs to Juno (which is solar)."
Q19,Multi_Hop,"Compare the power sources of the Curiosity rover, Juno spacecraft, and Voyager 1 probe.","Curiosity and Voyager 1 use radioisotope thermoelectric generators (RTGs fueled by plutonium-238), whereas Juno is powered by three large solar panel arrays.",rag_k3,"Curiosity and Voyager 1 use plutonium-238 RTGs, whereas Juno is powered by three large solar panel arrays.",0,0,5,Correct,"Successfully synthesized across curiosity, juno, and voyager chunks."
Q26,Multi_Hop,"How did the atmospheric entry strategies and outcomes differ between Galileo at Jupiter and Venera 7 at Venus?","Galileo's atmospheric probe descended 150 km into Jupiter before melting, whereas Venera 7 soft-landed on Venus's solid surface and transmitted data for 23 minutes.",baseline,"Galileo landed safely on Jupiter while Venera exploded in Venus orbit.",1,1,0,Incorrect,"Baseline confabulated safe Jupiter landing and Venus explosion."
Q26,Multi_Hop,"How did the atmospheric entry strategies and outcomes differ between Galileo at Jupiter and Venera 7 at Venus?","Galileo's atmospheric probe descended 150 km into Jupiter before melting, whereas Venera 7 soft-landed on Venus's solid surface and transmitted data for 23 minutes.",rag_k3,"Galileo released an atmospheric probe that descended 150 km into Jupiter before melting, while Venera 7 soft-landed on Venus and transmitted telemetry for 45 minutes.",1,1,4,Partially Correct,"Minor numerical drift (45 min vs 23 min); flagged as mild multi-hop hallucination."
